;under 1 year;1 year;2 years;3 years;4 years;5 years;6 years;7 years;8 years;9 years;10 years;11 years;12 years;13 years;14 years;15 years;16 years;17 years;18 years;19 years;Total
31/12/2012;674411;665848;684310;674000;693673;693323;679924;690255;708941;709866;723162;740709;774419;776505;793557;819081;806180;782723;797051;833070;80523746
31/12/2013;683070;684337;672324;690111;679650;699007;697337;684320;694557;713339;714054;727166;744676;778286;780198;797607;824290;811200;793290;814110;80767463
31/12/2014;716419;695915;694369;681109;698599;687851;706180;704334;691490;701623;720022;720522;733069;750865;784356;786661;805999;832637;826219;815272;81197537
31/12/2015;744721;740078;715608;713757;699382;716863;704716;723366;720452;706517;716699;733698;733981;746291;764997;802215;811294;831042;873171;872242;82175684
31/12/2016;788299;762519;753217;727203;725208;709649;725990;714614;733904;729770;715498;725080;741434;741827;754356;774861;817175;829658;852649;898526;82521653
31/12/2017;785074;796149;770628;760868;734059;732088;715528;732586;721168;740846;736082;721745;730820;746890;747228;760238;781964;824185;841946;872234;82792351
31/12/2018;783978;796374;802651;776763;766631;739729;736749;720613;738238;726909;746345;741530;726923;735760;751622;752351;766517;787745;835762;861102;83019213
31/12/2019;774870;794132;802415;807816;782143;771479;743954;741969;725807;743761;732376;751663;746670;731698;740506;756823;757882;771938;798514;854086;83166711
31/12/2020;769380;783593;798366;806198;811601;785754;774587;747447;745883;729897;747757;736417;755570;750180;735170;744218;760578;761348;779039;811591;83155031
31/12/2021;791254;780795;789145;803334;810805;816142;789397;779278;752469;750855;734666;752600;741247;760080;754868;740018;750057;766249;772950;797706;83237124
31/12/2022;737780;816186;800812;809359;824544;832873;838586;814051;806355;778912;777841;760690;777955;767132;785901;779567;766759;776420;800371;808979;84358845
